1	9760	s2	airline
9762	18557	s3	fellow
18559	30878	s3	zero
30880	45439	s3	laundry
45441	56918	s3	turf
56920	65399	s1	wrong
65401	77400	s4	presence
77402	88121	s2	purse
88123	102276	s3	depth
102278	113637	s4	engine
113639	125686	s4	winter
125688	136077	s4	image
136079	146318	s2	yours
146320	158351	s1	release
158353	170192	s4	salad
170194	181451	s3	patrol
181453	195052	s1	discharge
195054	203853	s2	vat
203855	215854	s2	times
215856	223535	s1	able
223537	235056	s2	laugh
235058	243697	s2	feed
243699	252624	s3	aura
252626	266065	s4	designs
266067	274226	s2	dairy
274228	284147	s4	skin
284149	296710	s4	kindly
296712	311111	s3	horrid
311113	320072	s2	pie
320074	334953	s3	flash
334955	345550	s2	filth
345552	356591	s1	fare
356593	369552	s1	speed
369554	382513	s4	baggage
382515	392212	s3	beating
392214	408693	s3	strained
408695	423470	s3	housewife
423472	432331	s1	hot
432333	440972	s2	may
440974	454393	s3	missile
454395	466488	s3	leisure
466490	479415	s3	enjoy
479417	494574	s3	coastline
494576	505775	s2	fierce
505777	516336	s1	entry
516338	530417	s3	accent
530419	543858	s4	insect
543860	556819	s4	weekend
556821	566100	s2	before
566102	580889	s3	peasant
580891	590490	s1	carry
590492	603291	s1	shortage
603293	617372	s1	nineteenth
617374	625693	s1	hell
625695	633534	s2	bench
633536	645955	s3	token
645957	657808	s4	guitar
657810	668209	s4	agree
668211	678770	s1	purely
678772	691411	s1	thankful
691413	701492	s1	before
701494	710453	s2	custom
710455	720694	s2	classroom
720696	729975	s2	barely
729977	740536	s2	laughter
740538	757017	s3	suggest
757019	764436	s2	tell
764438	776437	s2	studied
776439	790518	s4	midday
790520	803799	s2	princess
803801	816104	s1	jerk
816106	827465	s1	bridge
827467	837706	s1	lad
837708	848259	s4	brown
848261	861078	s3	handbag
861080	876599	s3	splendid
876601	892600	s3	second
892602	902361	s2	million
902363	912922	s2	cord
912924	920923	s2	plague
920925	934936	s3	belief
934938	944057	s1	terry
944059	956698	s4	notebook
956700	959999	s2	prayer
1	11360	s4	message
11362	22529	s2	tops
22531	34370	s4	twice
34372	45597	s3	wrath
45599	55518	s3	feel
55520	66399	s4	phrase
66401	76320	s1	quarry
76322	87361	s2	decide
87363	99522	s4	approach
99524	111279	s2	morale
111281	121520	s4	filthy
121522	133841	s4	quarters
133843	142962	s1	boy
142964	152663	s3	pay
152665	164344	s4	change
164346	176985	s4	trunks
176987	189946	s4	explain
189948	200507	s4	pretty
200509	211868	s2	margin
211870	223219	s3	dish
223221	236980	s4	lively
236982	246581	s1	teacher
246583	258262	s4	ninth
258264	268983	s1	drunken
268985	282264	s2	offspring
282266	292231	s3	play
292233	305308	s2	force
305310	316509	s1	distinct
316511	324510	s4	shop
324512	336671	s2	except
336673	347082	s3	cook
347084	356999	s2	brave
357001	364200	s4	there
364202	374441	s1	league
374443	386762	s4	leaning
386764	395855	s3	damp
395857	405936	s1	pleading
405938	415857	s1	bland
415859	426272	s4	border
426274	435751	s4	elite
435753	445032	s2	entry
445034	456171	s3	chair
456173	463852	s2	lunar
463854	470733	s2	tricky
470735	481454	s2	dentist
481456	498255	s3	visa
498257	508016	s1	rock
508018	521297	s1	myself
521299	534578	s3	ox
534580	545743	s3	click
545745	555184	s1	player
555186	566385	s2	tax
566387	573414	s3	bull
573416	584309	s2	words
584311	594550	s1	essay
594552	604951	s1	window
604953	619032	s1	spend
619034	629593	s2	health
629595	639174	s1	playwright
639176	655015	s3	darkness
655017	665416	s2	bulb
665418	674287	s4	piece
674289	686756	s3	atom
686758	695077	s1	coat
695079	702738	s2	bike
702740	714259	s1	whereby
714261	722988	s3	shell
722990	733709	s2	five
733711	746190	s4	stein
746192	757979	s3	owner
757981	767260	s2	as
767262	779017	s2	morale
779019	791338	s1	snow
791340	803685	s1	vaguely
803687	810246	s1	crop
810248	822407	s1	seed
822409	835048	s4	across
835050	844969	s4	mass
844971	854944	s3	patron
854946	865345	s2	saviour
865347	876386	s1	airline
876388	884867	s2	creek
884869	893988	s1	alien
893990	901731	s3	chill
901733	908268	s2	pig
908270	922501	s3	quarters
922503	928748	s2	pull
928750	938189	s2	lobby
938191	946990	s2	appear
946992	956127	s4	dealer
956129	959999	s1	name
1	10082	s3	far
10084	19495	s2	gardening
19497	27374	s1	cult
27376	39221	s1	sewage
39223	49854	s4	crown
49856	64763	s4	reflex
64765	74152	s1	hope
74154	85339	s1	fungus
85341	92638	s2	bow
92640	103999	s2	tedious
104001	116022	s3	innate
116024	129901	s4	upwards
129903	139790	s2	prepare
139792	149391	s1	womb
149393	159632	s1	comb
159634	171153	s2	persuade
171155	179314	s4	gone
179316	190195	s2	walking
190197	203948	s3	target
203950	214989	s2	taking
214991	225666	s3	help
225668	233507	s2	glad
233509	244548	s1	labour
244550	253989	s2	robe
253991	263910	s1	want
263912	270951	s2	cook
270953	280100	s1	parent
280102	288901	s4	boss
288903	297862	s2	picnic
297864	312119	s4	distaste
312121	321880	s2	rocks
321882	332445	s1	cottage
332447	344926	s4	supreme
344928	354367	s2	choose
354369	365088	s2	nightmare
365090	378429	s3	upright
378431	390750	s4	impulse
390752	401151	s2	parts
401153	410112	s1	begin
410114	421203	s3	ten
421205	430484	s1	stop
430486	442325	s1	cautious
442327	453862	s1	trance
453864	466023	s4	strictly
466025	477544	s4	instant
477546	488905	s4	quest
488907	500266	s2	rats
500268	511307	s2	despite
511309	525548	s3	dubious
525550	536749	s4	quarry
536751	549710	s1	sadness
549712	559713	s1	few
559715	572194	s1	various
572196	584355	s1	accept
584357	596836	s1	welfare
596838	609637	s1	morals
609639	619238	s4	gaze
619240	629319	s4	loud
629321	644520	s3	ninth
644522	655573	s3	parting
655575	668402	s3	assume
668404	678163	s2	wonder
678165	688404	s2	marble
688406	700453	s3	major
700455	713254	s4	scandal
713256	723001	s1	asset
723003	735004	s4	earthly
735006	749085	s1	greedy
749087	761086	s2	fairness
761088	771167	s2	lord
771169	784768	s1	sometimes
784770	795009	s3	if
795011	807810	s2	warmly
807812	818213	s4	purple
818215	827494	s2	while
827496	833095	s1	with
833097	844136	s1	juice
844138	852297	s2	till
852299	866762	s3	against
866764	875883	s1	rat
875885	889484	s1	compare
889486	898285	s2	roof
898287	912046	s1	greenhouse
912048	923439	s3	lion
923441	935640	s3	niece
935642	947961	s4	programme
947963	958202	s2	hunger
958204	959999	s4	believe
1	13440	s3	spoke
13442	24801	s4	snake
24803	39042	s4	absurd
39044	47523	s2	tone
47525	57434	s3	said
57436	67585	s3	via
67587	78626	s2	several
78628	88067	s4	area
88069	100068	s3	fake
100070	116991	s3	mobile
116993	132898	s3	thirteen
132900	145697	s4	mildly
145699	156258	s2	toward
156260	168099	s1	maths
168101	180260	s1	seed
180262	191141	s1	dirt
191143	202778	s3	miss
202780	210619	s2	bench
210621	223126	s2	proceeds
223128	233513	s4	basic
233515	243390	s1	timber
243392	256351	s4	depressed
256353	264362	s4	gloom
264364	282033	s3	towards
282035	293714	s1	closely
293716	305685	s3	less
305687	316992	s3	hat
316994	327233	s2	crying
327235	338914	s4	warning
338916	349155	s2	cheese
349157	358830	s2	horror
358832	370351	s2	adverse
370353	384112	s3	runs
384114	392913	s4	rock
392915	403954	s4	sector
403956	416839	s3	calmly
416841	428360	s4	stormy
428362	436841	s1	bundle
436843	448042	s2	chin
448044	457803	s1	chapter
457805	466124	s4	hall
466126	476685	s1	vet
476687	489646	s2	museum
489648	499567	s4	cousin
499569	509192	s2	kitchen
509194	521033	s2	despatch
521035	531594	s1	idly
531596	542475	s4	surely
542477	551596	s2	rate
551598	564383	s3	nylon
564385	578144	s1	scarf
578146	588711	s4	vehicle
588713	600748	s3	much
600750	610349	s2	and
610351	618784	s4	loop
618786	631425	s4	unclean
631427	646382	s3	tourist
646384	659343	s4	solely
659345	668530	s2	think
668532	679799	s1	bust
679801	689010	s3	fisher
689012	700851	s4	sailor
700853	711606	s1	nephew
711608	723767	s4	straw
723769	736568	s3	rocket
736570	746019	s3	palm
746021	757540	s1	airport
757542	767621	s4	valley
767623	778822	s4	house
778824	792423	s1	vastly
792425	800744	s1	many
800746	808487	s3	chill
808489	820808	s1	midnight
820810	831899	s3	pork
831901	842780	s4	hunger
842782	853277	s2	destroy
853279	862398	s1	crew
862400	872203	s3	travelling
872205	881400	s3	beam
881402	892577	s3	deeply
892579	901836	s3	lid
901838	914477	s1	swiftly
914479	922798	s2	modern
922800	933999	s4	mainly
934001	949200	s3	adverse
949202	959999	s4	grease
